table,row,arm,plane,kernel_or_block,machine,quantity,value,unit,label,byte_basis,n,dispersion,dispersion_kind,source
K,K15,,dense layer-0 down BF16,dense_down_residual,M4,pct_of_M4_ceiling,97.0,pct,DERIVED,,1,0,exact_arithmetic,research/maple-tanjiro-pr73-decode-kernel-census.md:433-441
K,K16,,lm-head stage-2 refine,lmhead_exact_fused_int5_sparse_refine,M4,time_per_step,74.9,us,MEASURED,,199,UNKNOWN,no_half_range_published,research/maple-tanjiro-pr73-decode-kernel-census.md:341-367
K,K17,,RMS norms,rmsbfloat16,M4,time_per_step,74.6,us,MEASURED,,199,UNKNOWN,no_half_range_published,research/maple-tanjiro-pr73-decode-kernel-census.md:341-367
K,KB1,,attention qkvo (4-kernel block),decode_nvfp4_qkv_h64+h48 / oproj_act_h64+h48,M4,bytes_read_per_step,802.16,MB,MEASURED,READ,1,0,exact_byte_count,research/maple-tanjiro-pr73-decode-kernel-census.md:402-405
K,KB1,,attention qkvo (4-kernel block),decode_nvfp4_qkv_h64+h48 / oproj_act_h64+h48,M4,time_per_step,3167.0,us,DERIVED,,199,UNKNOWN,sum_of_K02_K03_K07_K08,1358.4+1141.8+363.9+302.9
K,KB1,,attention qkvo (4-kernel block),decode_nvfp4_qkv_h64+h48 / oproj_act_h64+h48,M4,achieved_rate,253.3,GB_per_s,DERIVED,READ,199,UNKNOWN,no_half_range_published,802.16/3.1670
K,KB1,,attention qkvo (4-kernel block),decode_nvfp4_qkv_h64+h48 / oproj_act_h64+h48,M4,pct_of_M4_ceiling,97.3,pct,DERIVED,,1,0,exact_arithmetic,253.3/260.2
K,KB1,,attention qkvo (4-kernel block),decode_nvfp4_qkv_h64+h48 / oproj_act_h64+h48,M5,time_per_step,1230.70,us,MEASURED,,1,28,us_half_range,research/tanjiro-pr34-result.md:599
K,KB1,,attention qkvo (4-kernel block),decode_nvfp4_qkv_h64+h48 / oproj_act_h64+h48,M5,achieved_rate,651.8,GB_per_s,MEASURED,READ,1,UNKNOWN,derived_from_us_half_range,research/tanjiro-pr34-result.md:599
K,KB2,,routed MoE (2-kernel block),routed_nvfp4_swiglu_qmv_packed_top8keys / routed_shared_nvfp4_down_residual,M4,bytes_read_per_step,552.08,MB,MEASURED,READ,1,0,exact_byte_count,research/maple-tanjiro-pr73-decode-kernel-census.md:402-405
K,KB2,,routed MoE (2-kernel block),routed_nvfp4_swiglu_qmv_packed_top8keys / routed_shared_nvfp4_down_residual,M4,time_per_step,2337.3,us,DERIVED,,199,UNKNOWN,sum_of_K01_K04,1503.9+833.4
K,KB2,,routed MoE (2-kernel block),routed_nvfp4_swiglu_qmv_packed_top8keys / routed_shared_nvfp4_down_residual,M4,achieved_rate,246.0,GB_per_s,DERIVED,READ,199,UNKNOWN,includes_23.00MB_shared_down,575.08/2.3373
K,KB2,,routed MoE (2-kernel block),routed_nvfp4_swiglu_qmv_packed_top8keys / routed_shared_nvfp4_down_residual,M4,pct_of_M4_ceiling,94.6,pct,DERIVED,,1,0,exact_arithmetic,246.0/260.2
K,KB2,,routed MoE (2-kernel block),routed_nvfp4_swiglu_qmv_packed_top8keys / routed_shared_nvfp4_down_residual,M5,time_per_step,1010.67,us,MEASURED,,1,34,us_half_range,research/tanjiro-pr34-result.md:602
K,KB2,,routed MoE (2-kernel block),routed_nvfp4_swiglu_qmv_packed_top8keys / routed_shared_nvfp4_down_residual,M5,achieved_rate,546.2,GB_per_s,MEASURED,READ,1,UNKNOWN,flagged_provisional,research/tanjiro-pr34-result.md:602
K,KB3,,whole decode step,all,M4,time_per_step,8200.7,us,MEASURED,,199,UNKNOWN,delta_corrected_sum,research/maple-tanjiro-pr73-decode-kernel-census.md:341-367
K,KB3,,whole decode step,all,M4,bytes_read_per_step,1794,MB,MEASURED,READ,1,0,certified_total,research/maple-tanjiro-pr73-decode-kernel-census.md:402-405
K,KB3,,whole decode step,all,M5,achieved_rate,415,GB_per_s,MEASURED,READ,1,UNKNOWN,whole_step_aggregate,research/tanjiro-pr27-result.md:152
K,KB3,,whole decode step,all,M5,definitional_rate,610,GB_per_s,DERIVED,READ,1,0,not_a_physical_capability,research/CURRENT_RESEARCH_STATE.md:1611
K,KC1,,M4 Pro streaming ceiling,-,M4,ceiling_rate,260.2,GB_per_s,MEASURED,READ,1,UNKNOWN,no_half_range_published,research/maple-tanjiro-pr73-decode-kernel-census.md:431
K,KC2,,M5 streaming ceiling,-,M5,ceiling_rate,UNKNOWN,GB_per_s,UNKNOWN,,0,UNKNOWN,never_measured_lower_bound_919,research/tanjiro-pr34-result.md:38-40
